idBien,idQuartier,idRue,idBourg,idRedevance,idSeigneurie,type,qualif,detail,mesure,materiaux,idDeclaration,typeT,nbrComposant1,composant1,nbrComposant2,composant2,composant3,composant4,composant5,composant6,qualifTN,mention1,detailDate,typeComposant1,typeComposant2,typeComposant3,typeComposant4,typeComposant5,typeComposant6,typeSimpleComposant1,typeSimpleComposant2,typeSimpleComposant3,typeSimpleComposant4,typeSimpleComposant5,typeSimpleComposant6,xcoord,ycoord,longitudeHypo,latitudeHypo,loc
241,7,NULL,NULL,241,1,ortus,magnus et pulcherimus,NULL,11 eminata terre parum plus vel minus continentis,NULL,243,jardin,1,jardin,NULL,,NULL,NULL,NULL,NULL,grand et beau,1366,NULL,terrain agricol,,,,,,non bati,,,,,,844615.7271413096,6317903.720525721,,,extra
242,7,NULL,NULL,242,1,ortus,pulcrum,NULL,3 eminata terre et octo dextros parum plus vel minus continentis cum domibus cum soleriis sibi contiguis et in dicto orto constructis,NULL,244,jardin,1,jardin,NULL,,NULL,NULL,NULL,NULL,belle,1366,NULL,terrain agricol,,,,,,non bati,,,,,,844689.9450396351,6317883.479280723,,,extra
1152,7,NULL,NULL,1152,19,hospitium,NULL,medietate indivisa teneri dicitur sub directo domino curie temporalis avinionis,NULL,NULL,1145,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1364,NULL,edifice residentiel,,,,,,bati,,,,,,844755.7333597093,6318465.648870963,,,extra
1151,7,NULL,NULL,1151,19,hospitium,NULL,in quo moratur_medietate indivisa teneri dicitur sub directo domino curie temporalis avinionis,NULL,NULL,1144,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1365,NULL,edifice residentiel,,,,,,bati,,,,,,844762.5053075247,6318425.81285853,,,extra
1149,7,NULL,NULL,1149,19,parte hospitium et furnum,NULL,in quo moratur,NULL,NULL,1142,part de maison3 et four,1,part de maison,1,four,NULL,NULL,NULL,NULL,NULL,1363,NULL,edifice residentiel,four puit,,,,,bati,bati,,,,,844762.8655001605,6318435.435043839,,,extra
1150,7,NULL,NULL,1150,19,parte hospitium,NULL,in quo moratur medietate indivisa,NULL,NULL,1143,part de maison3,1,part de maison,NULL,,NULL,NULL,NULL,NULL,NULL,1365,NULL,edifice residentiel,,,,,,bati,,,,,,844770.0636949792,6318429.704269901,,,extra
8023,17,NULL,NULL,8023,31,maison3,NULL,NULL,NULL,NULL,8023,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1319,NULL,edifice residentiel,,,,,,bati,,,,,,844785.623546525,6318516.296634047,,,def
7223,4,NULL,NULL,7223,23,hospitium,NULL,NULL,NULL,NULL,7223,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1378,moyenneDatesConnues,edifice residentiel,,,,,,bati,,,,,,845284.8102194025,6317952.28080016,,,extra
7231,4,NULL,NULL,7231,23,hospitium,NULL,NULL,NULL,NULL,7231,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1378,moyenneDatesConnues,edifice residentiel,,,,,,bati,,,,,,845284.8102194025,6317973.571393079,,,intra
7224,4,NULL,NULL,7224,23,hospitium,NULL,NULL,NULL,NULL,7224,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1378,moyenneDatesConnues,edifice residentiel,,,,,,bati,,,,,,845294.8641105029,6317952.28080016,,,extra
7230,4,NULL,NULL,7230,23,hospitium,NULL,NULL,NULL,NULL,7230,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1378,moyenneDatesConnues,edifice residentiel,,,,,,bati,,,,,,845296.0469212206,6317978.894041308,,,intra
7225,4,NULL,NULL,7225,23,hospitium,NULL,NULL,NULL,NULL,7225,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1378,moyenneDatesConnues,edifice residentiel,,,,,,bati,,,,,,845302.8555662469,6317947.327048505,,,extra
1110,5,NULL,NULL,1110,19,hospitium,NULL,in quo moratur,NULL,NULL,1105,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1363,NULL,edifice residentiel,,,,,,bati,,,,,,845330.1703274883,6317960.352622741,,,intra
1118,5,NULL,NULL,1118,19,hospitium,NULL,NULL,NULL,NULL,1113,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1367,NULL,edifice residentiel,,,,,,bati,,,,,,845344.1173664609,6317971.219511809,,,intra
1088,3,49,NULL,1088,19,hospitium,NULL,NULL,NULL,NULL,1085,maison3,1,maison,NULL,,NULL,NULL,NULL,NULL,NULL,1363,NULL,edifice residentiel,,,,,,bati,,,,,,845390.2337505379,6318247.093765952,,,intra
60284,NULL,NULL,NULL,60284,29,locali,NULL,NULL,NULL,NULL,60284,emplacement occupe par des batiments ou destine a etre bati,1,emplacement occupe par des batiments ou destine a etre bati,NULL,,NULL,NULL,NULL,NULL,NULL,1384,NULL,terrain a batir,,,,,,non bati,,,,,,845475.193268127,6318482.655348814,,,def
2033,3,NULL,NULL,2033,20,ort et vinha,NULL,NULL,eminata 3 quart,NULL,2033,jardin et vigne,1,jardin,1,vigne,NULL,NULL,NULL,NULL,NULL,1391,NULL,terrain agricol,terrain agricol,,,,,non bati,non bati,,,,,845863.1615431026,6318390.530076005,,,extra
237,7,NULL,NULL,237,1,hospitia et magazina ac logua sive curtis et magne platee terre cum viridario et puteo,NULL,NULL,NULL,NULL,239,maison3 et magasin avec loge ou cour et grande place de terre avec verger et puit,1,maison,1,magasin,loge,place,verger,puit,NULL,1366,NULL,edifice residentiel,edifice de stockage,edifice commercial atelier professionnel,cour,terrain agricol,four puit,bati,bati,bati,non bati,non bati,bati,844382.715182599,6317837.18260861,4.7985561,43.9447382,extra
236,7,NULL,NULL,236,1,hospitia et viridaria ac curtis,NULL,NULL,NULL,NULL,238,maisons3 et vergers,1,maison,1,verger,NULL,NULL,NULL,NULL,NULL,1366,NULL,edifice residentiel,terrain agricol,,,,,bati,non bati,,,,,844396.40137166,6317860.14008703,4.7987331,43.9449420,extra
239,7,NULL,NULL,239,1,ortus sive viridarium cum domo in introitu ipsius,magnum et pulcrum,NULL,6 eminata et 4 parte alterius eminate terre parum plus vel minus continentem,NULL,241,jardin ou verger avec une maison a son entree,1,jardin,1,maison,NULL,NULL,NULL,NULL,grande et belle,1366,NULL,terrain agricol,edifice residentiel,,,,,non bati,bati,,,,,844403.906701145,6317829.67727912,4.7988179,43.9446664,extra
