idBienIndividu;idIndividu;idBien;date1reconnaissance;date2reconnaissance;ordreSuccession;moyenAcqui;sureteDate;;;
1;1;1;1366;1368;1;NULL;S;;;
2;2;2;1366;1368;1;NULL;S;;;
3;3;3;1366;1368;1;NULL;S;;;
4;4;4;1366;1368;1;NULL;S;;;
5;5;4;1366;1368;1;NULL;S;;;
6;6;5;1366;1368;1;NULL;S;;;
7;7;5;1366;1368;1;NULL;S;;;
8;8;6;1366;1368;1;NULL;S;;;
9;9;7;1366;1368;1;NULL;S;;;
10;9;8;1366;1368;1;NULL;S;;;
11;10;9;1366;1368;1;NULL;S;;;
12;11;10;1366;1368;1;NULL;S;;;
13;12;11;1366;1368;1;NULL;S;;;
14;13;12;1366;1368;1;NULL;S;;;
15;14;13;1366;1368;1;NULL;S;;;
16;15;14;1366;1368;1;NULL;S;;;
17;16;15;1366;1368;1;NULL;S;;;
18;17;16;1366;1368;1;NULL;S;;;
19;18;17;1366;1368;1;NULL;S;;;
20;19;18;1366;1368;1;NULL;S;;;
21;20;19;1366;1368;1;NULL;S;;;
22;21;19;1366;1368;1;NULL;S;;;
23;20;20;1366;1368;1;NULL;S;;;
24;21;20;1366;1368;1;NULL;S;;;
25;22;21;1366;1368;1;NULL;S;;;
26;22;22;1366;1368;1;NULL;S;;;
27;23;23;1366;1368;1;NULL;S;;;
28;24;24;1366;1368;1;NULL;S;;;
29;25;25;1366;1368;1;NULL;S;;;
30;26;26;1366;1368;1;NULL;S;;;
31;26;27;1366;1368;1;NULL;S;;;
32;27;28;1366;1368;1;NULL;S;;;
33;28;29;1366;1368;1;NULL;S;;;
34;29;29;1366;1368;1;NULL;S;;;
35;30;29;1366;1368;1;NULL;S;;;
36;31;30;1366;1368;1;NULL;S;;;
37;32;31;1366;1368;1;NULL;S;;;
38;32;32;1366;1368;1;NULL;S;;;
39;33;32;1366;1368;1;NULL;S;;;
40;34;32;1366;1368;1;NULL;S;;;
41;35;32;1366;1368;1;NULL;S;;;
42;33;33;1366;1368;1;NULL;S;;;
43;34;33;1366;1368;1;NULL;S;;;
44;35;33;1366;1368;1;NULL;S;;;
45;36;34;1366;1368;1;NULL;S;;;
46;37;35;1366;1368;1;NULL;S;;;
47;38;36;1366;1368;1;NULL;S;;;
48;32;37;1366;1368;1;NULL;S;;;
49;39;38;1366;1368;1;NULL;S;;;
50;40;39;1366;1368;1;NULL;S;;;
51;41;40;1366;1368;1;NULL;S;;;
52;42;41;1366;1368;1;NULL;S;;;
53;43;42;1366;1368;1;NULL;S;;;
54;43;43;1366;1368;1;NULL;S;;;
55;28;44;1366;1368;1;NULL;S;;;
56;29;44;1366;1368;1;NULL;S;;;
57;30;44;1366;1368;1;NULL;S;;;
58;44;45;1366;1368;1;NULL;S;;;
59;45;45;1366;1368;1;NULL;S;;;
60;46;46;1366;1368;1;NULL;S;;;
61;47;47;1366;1368;1;NULL;S;;;
62;48;48;1366;1368;1;NULL;S;;;
63;49;48;1366;1368;1;NULL;S;;;
64;50;49;1366;1368;1;NULL;S;;;
65;34;50;1366;1368;1;NULL;S;;;
66;51;51;1366;1368;1;NULL;S;;;
67;52;52;1366;1368;1;NULL;S;;;
68;52;53;1366;1368;1;NULL;S;;;
69;53;53;1366;1368;1;NULL;S;;;
70;54;53;1366;1368;1;NULL;S;;;
71;55;54;1366;1368;1;NULL;S;;;
72;56;55;1366;1368;1;NULL;S;;;
73;57;56;1366;1368;1;NULL;S;;;
74;58;56;1366;1368;1;NULL;S;;;
75;59;57;1366;1368;1;NULL;S;;;
76;60;57;1366;1368;1;NULL;S;;;
77;61;58;1366;1368;1;NULL;S;;;
78;62;59;1366;1368;1;NULL;S;;;
79;63;59;1366;1368;1;NULL;S;;;
80;51;60;1366;1368;1;NULL;S;;;
81;63;61;1366;1368;1;NULL;S;;;
82;64;62;1366;1368;1;NULL;S;;;
83;65;63;1366;1368;1;NULL;S;;;
84;66;64;1366;1368;1;NULL;S;;;
85;67;65;1366;1368;1;NULL;S;;;
86;68;66;1366;1368;1;NULL;S;;;
87;69;67;1366;1368;1;NULL;S;;;
88;70;68;1366;1368;1;NULL;S;;;
89;71;69;1366;1368;1;NULL;S;;;
90;72;70;1366;1368;1;NULL;S;;;
91;165;71;1366;1368;1;NULL;S;;;
92;165;72;1366;1368;1;NULL;S;;;
93;74;73;1366;1368;1;NULL;S;;;
94;75;74;1366;1368;1;NULL;S;;;
95;403;75;1366;1368;1;NULL;S;;;
96;76;76;1366;1368;1;NULL;S;;;
97;77;77;1366;1368;1;NULL;S;;;
98;78;78;1366;1368;1;NULL;S;;;
99;79;79;1366;1368;1;NULL;S;;;
100;80;80;1366;1368;1;NULL;S;;;
101;81;81;1366;1368;1;NULL;S;;;
102;82;82;1366;1368;1;NULL;S;;;
103;83;83;1366;1368;1;NULL;S;;;
104;84;84;1366;1368;1;NULL;S;;;
105;84;85;1366;1368;1;NULL;S;;;
106;85;86;1366;1368;1;NULL;S;;;
107;86;87;1366;1368;1;NULL;S;;;
108;87;88;1366;1368;1;NULL;S;;;
109;88;89;1366;1368;1;NULL;S;;;
110;89;90;1366;1368;1;NULL;S;;;
111;90;91;1366;1368;1;NULL;S;;;
112;91;92;1366;1368;1;NULL;S;;;
113;4;93;1366;1368;1;NULL;S;;;
114;5;93;1366;1368;1;NULL;S;;;
115;4;94;1366;1368;1;NULL;S;;;
116;5;94;1366;1368;1;NULL;S;;;
117;92;95;1366;1368;1;NULL;S;;;
118;93;96;1366;1368;1;NULL;S;;;
119;94;97;1366;1368;1;NULL;S;;;
120;95;97;1366;1368;1;NULL;S;;;
121;96;98;1366;1368;1;NULL;S;;;
122;97;99;1366;1368;1;NULL;S;;;
123;97;100;1366;1368;1;NULL;S;;;
124;91;101;1366;1368;1;NULL;S;;;
125;98;102;1366;1368;1;NULL;S;;;
126;99;103;1366;1368;1;NULL;S;;;
127;86;104;1366;1368;1;NULL;S;;;
128;100;105;1366;1368;1;NULL;S;;;
129;101;106;1366;1368;1;NULL;S;;;
130;102;107;1366;1368;1;NULL;S;;;
131;103;108;1366;1368;1;NULL;S;;;
132;103;109;1366;1368;1;NULL;S;;;
133;104;110;1366;1368;1;NULL;S;;;
134;105;111;1366;1368;1;NULL;S;;;
135;106;112;1366;1368;1;NULL;S;;;
136;107;113;1366;1368;1;NULL;S;;;
137;108;114;1366;1368;1;NULL;S;;;
138;109;114;1366;1368;1;NULL;S;;;
139;110;115;1366;1368;1;NULL;S;;;
