"id","nom","geom","area","perimeter","type","idsave","datePremiereMention","dateCreation"
415,"Bourg de Catherine Rascas","01060000206A08000001000000010300000001000000050000007AE386AF82C52941943F6E97E8195841CC2BA4057CC52941C71CCD1FFB195841902E32A6EDC52941F3FBC0B6FE195841C23D7DF9EFC529418A5B4382EA1958417AE386AF82C52941943F6E97E8195841",NULL,NULL,NULL,3,NULL,NULL
1151,"bourg de rixendis lanse",NULL,NULL,NULL,NULL,NULL,NULL,NULL
626,"burgus domine alasacie sive heliodis domine de podio de vallibus",NULL,NULL,NULL,NULL,NULL,NULL,NULL
627,"burguetus novo olim marguerite filia Raimundi Arnaudi notarius curie episcopali",NULL,NULL,NULL,NULL,NULL,NULL,NULL
633,"burgus johannis motoneri",NULL,NULL,NULL,NULL,NULL,NULL,NULL
634,"burgueto mabilie soquerie",NULL,NULL,NULL,NULL,NULL,NULL,NULL
645,"burgus nuncupat de vinea",NULL,NULL,NULL,NULL,NULL,NULL,NULL
681,"burgus novum - est-ce le bourg neuf de sainte-catherine ?",NULL,NULL,NULL,NULL,NULL,NULL,NULL
756,"bourguet de Madonna Joanneta de Bras",NULL,NULL,NULL,NULL,NULL,NULL,NULL
762,"Bourg chapellenie fondé par l'évêque de Brescia dans l'église sainte-catherine dans la chapelle saint-pierre",NULL,NULL,NULL,NULL,NULL,NULL,NULL
413,"Bourg de Sainte-Catherine","01060000206A080000010000000103000000010000000500000017E1A29469CD2941D5C20845231A5841E48D24AA6ECD294106DD2530031A5841B8EF1ADCF5CD2941E41C158F021A5841D30D47C2F2CD294154D97F87231A584117E1A29469CD2941D5C20845231A5841",NULL,NULL,NULL,1,NULL,NULL
424,"Bourg des Oulliers","01060000206A0800000100000001030000000100000005000000AB8320F65DC7294175C33568581A584147C80ECF51C72941A2EE4F74461A584175C5423DB5C72941B12E0462441A5841D06F8149C0C729414B50082A571A5841AB8320F65DC7294175C33568581A5841",NULL,NULL,NULL,12,NULL,NULL
450,"Bourg de Bertrand Raynaud","01060000206A08000001000000010300000001000000050000003CCE58D765CC2941D397A7DDFF1958412AF999F649CC2941E376EE14F619584174D656C782CC2941E22DC43AF4195841F003681796CC2941C71C2FA6FC1958413CCE58D765CC2941D397A7DDFF195841",NULL,NULL,NULL,38,NULL,NULL
420,"Bourg des Augustins","01060000206A0800000100000001030000000100000005000000BBD9909B89CD2941092F4BC7481A58418C2E9D9E8CCD29415BCDE5423F1A58415BCE5D50D4CD294150B7D55B3F1A58419BC52BA8D2CD2941D0A845F4471A5841BBD9909B89CD2941092F4BC7481A5841",NULL,NULL,NULL,8,NULL,NULL
454,"Bourg de Laurette Rancurel","01060000206A0800000100000001030000000100000005000000541F583C44CF2941715EECAF491A58418FE695B946CF294135E50660421A5841371614CBABCF2941C51A1CC8411A58413F79C150A5CF2941B4AC0F774A1A5841541F583C44CF2941715EECAF491A5841",NULL,NULL,NULL,42,NULL,NULL
416,"Bourg de Bertrand Beranger","01060000206A080000010000000103000000010000000500000066FDAA2938CF2941A90CDCE59E1A5841C80EE45C2ECF2941A29FE8E5891A5841157798E9BCCE2941166C966C891A5841F7BF738FC4CE29415B34962D9D1A584166FDAA2938CF2941A90CDCE59E1A5841",NULL,NULL,NULL,4,NULL,NULL
448,"Bourg d'Elzéar du Castel","01060000206A080000010000000103000000010000000500000056779F97BDCD2941885E3C95CA195841CD31B109C1CD2941971ABC17BE19584126B15E4446CE29414F460119BF195841936A2F143DCE29415A4742BBCB19584156779F97BDCD2941885E3C95CA195841",NULL,NULL,NULL,36,NULL,NULL
427,"Bourg d'Aymar Martin","01060000206A080000010000000103000000010000000500000066700822DEC82941246BC8C7CD195841A6BF64EADAC8294160CF9CEAC119584149FF084340C929413B1E2E50C1195841B93A4ED93DC929410CF5D360CD19584166700822DEC82941246BC8C7CD195841",NULL,NULL,NULL,15,NULL,NULL
419,"Bourg de Jean Boerii","01060000206A0800000100000001030000000100000005000000F79A57246FC7294137B2EC6FF6195841229F8F4783C72941507BE9FEE7195841D69B1EE1D6C72941C4AE6F25E91958410E8FA4A5B0C72941AA95F11FF8195841F79A57246FC7294137B2EC6FF6195841",NULL,NULL,NULL,7,NULL,NULL
