idConfront,localisation,idBien1,idBien2,idInvariant,idInvariant_ajout,idQuartierParoisse,localisationTN
2350,a-circio,1155,NULL,1,1_2,NULL,confronte au nord avec
2451,a-occident,1192,NULL,2,2_2,NULL,confronte a l ouest avec
2448,in,1192,NULL,2,2_2,NULL,dans
2453,a-occident,1193,NULL,2,2_2,NULL,confronte a l ouest avec
2452,in,1193,NULL,2,2_2,NULL,dans
3200,in,2001,NULL,2,2_2,NULL,dans
3203,ab-una-part,2002,NULL,2,2_1,NULL,confronte avec
3202,in,2002,NULL,2,2_1,NULL,dans
1908,in,6025,NULL,2,2_2,NULL,dans
1910,in,6026,NULL,2,2_2,NULL,dans
4692,retro,7299,NULL,2,2_2,NULL,derriere
4694,ab-una-part,7299,NULL,2,2_2,NULL,confronte avec
2432,in,1186,NULL,4,4_1,NULL,dans
2433,a-orient,1186,NULL,4,4_1,NULL,confronte a l est avec
3204,in,2003,NULL,4,4_1,NULL,dans
3206,in,2004,NULL,4,4_1,NULL,dans
3205,ab-una-part,2004,NULL,4,4_1,NULL,confronte avec
1911,in,6027,NULL,4,4_1,NULL,dans
4702,ab-una-part,7303,NULL,4,4_1,NULL,confronte avec
4701,in,7303,NULL,4,4_1,NULL,dans
4705,ab-una-part,7304,NULL,4,4_1,NULL,confronte avec
4703,in,7304,NULL,4,4_1,NULL,dans
1109,a-occident,102,NULL,8,8_2,NULL,confronte a l ouest avec
1108,in,102,NULL,8,8_2,NULL,dans
1110,a-orient,107,NULL,8,8_1,NULL,confronte a l est avec
1111,a-orient,109,NULL,8,8_1,NULL,confronte a l est avec
1112,a-orient,118,NULL,8,8_1,NULL,confronte a l est avec
1113,a-orient,119,NULL,8,8_1,NULL,confronte a l est avec
1114,a-orient,120,NULL,8,8_1,NULL,confronte a l est avec
1115,in,132,NULL,8,8_2,NULL,dans
1116,a-orient,132,NULL,8,8_2,NULL,confronte a l est avec
1117,in,133,NULL,8,8_2,NULL,dans
1118,a-occident,133,NULL,8,8_2,NULL,confronte a l ouest avec
1120,a-occident,134,NULL,8,8_2,NULL,confronte a l ouest avec
1119,in,134,NULL,8,8_2,NULL,dans
1121,a-orient,140,NULL,8,8_1,NULL,confronte a l est avec
1122,a-orient,141,NULL,8,8_1,NULL,confronte a l est avec
1123,a-orient,142,NULL,8,8_1,NULL,confronte a l est avec
1124,a-orient,143,NULL,8,8_1,NULL,confronte a l est avec
1125,in,145,NULL,8,8_1,NULL,dans
1126,a-occident,145,NULL,8,8_1,NULL,confronte a l ouest avec
1127,a-occident,146,NULL,8,8_1,NULL,confronte a l ouest avec
1129,a-occident,161,NULL,8,8_2,NULL,confronte a l ouest avec
1128,in compito-sive-cantono,161,NULL,8,8_2,NULL,a l angle de
1130,a-occident,162,NULL,8,8_2,NULL,confronte a l ouest avec
1132,a-orient,167,NULL,8,8_2,NULL,confronte a l est avec
1131,in compito-sive-cantono,167,NULL,8,8_2,NULL,a l angle de
1134,a-occident,170,NULL,8,8_2,NULL,confronte a l ouest avec
1135,in compito-sive-cantono,171,NULL,8,8_2,NULL,a l angle de
1136,a-meridie,171,NULL,8,8_2,NULL,confronte au sud avec
1138,a-occident,176,NULL,8,8_2,NULL,confronte a l ouest avec
1137,in,176,NULL,8,8_2,NULL,dans
1139,in,190,NULL,8,8_2,NULL,dans
1140,a-circio,190,NULL,8,8_2,NULL,confronte au nord avec
1141,in,193,NULL,8,8_2,NULL,dans
1142,a-occident,194,NULL,8,8_2,NULL,confronte a l ouest avec
1143,a-occident,195,NULL,8,8_2,NULL,confronte a l ouest avec
1144,a-occident,196,NULL,8,8_2,NULL,confronte a l ouest avec
1145,in,201,NULL,8,8_2,NULL,dans
1146,in,202,NULL,8,8_2,NULL,dans
1148,a-orient,203,NULL,8,8_2,NULL,confronte a l est avec
1147,a-occident,203,NULL,8,8_2,NULL,confronte a l ouest avec
1551,a-occident,443,NULL,8,8_1,NULL,confronte a l ouest avec
1149,a-orient,447,NULL,8,8_1,NULL,confronte a l est avec
1150,juxta,449,NULL,8,8_2,NULL,a cote de
1151,a-occident,450,NULL,8,8_1,NULL,confronte a l ouest avec
1152,a-circio,451,NULL,8,8_2,NULL,confronte au nord avec
1154,a-occident,454,NULL,8,8_2,NULL,confronte a l ouest avec
1153,in,454,NULL,8,8_2,NULL,dans
2301,a-part-ante,1136,NULL,8,8_2,NULL,confronte du cote avant avec
2300,a-orient,1136,NULL,8,8_2,NULL,confronte a l est avec
2299,in,1136,NULL,8,8_2,NULL,dans
2305,a-orient,1137,NULL,8,8_2,NULL,confronte a l est avec
2304,in,1137,NULL,8,8_2,NULL,dans
2307,a-orient,1138,NULL,8,8_2,NULL,confronte a l est avec
2306,in,1138,NULL,8,8_2,NULL,dans
2308,in,1139,NULL,8,8_2,NULL,dans
2309,a-orient,1139,NULL,8,8_2,NULL,confronte a l est avec
2310,in,1140,NULL,8,8_2,NULL,dans
2311,a-orient,1140,NULL,8,8_2,NULL,confronte a l est avec
2312,in,1141,NULL,8,8_2,NULL,dans
2315,a-occident,1142,NULL,8,8_2,NULL,confronte a l ouest avec
2314,in,1142,NULL,8,8_2,NULL,dans
2316,a-circio,1142,NULL,8,8_2,NULL,confronte au nord avec
2319,in,1143,NULL,8,8_2,NULL,dans
2320,a-occident,1143,NULL,8,8_2,NULL,confronte a l ouest avec
2321,in,1144,NULL,8,8_2,NULL,dans
3354,ab-una-part,2078,NULL,8,8_1,NULL,confronte avec
1188,in compito-sive-cantono,149,NULL,10,10_1,NULL,a l angle de
1190,a-orient,149,NULL,10,10_1,NULL,confronte a l est avec
1189,a-circio,149,NULL,10,10_1,NULL,confronte au nord avec
1192,a-orient,150,NULL,10,10_1,NULL,confronte a l est avec
1191,in,150,NULL,10,10_1,NULL,dans
1193,in,151,NULL,10,10_2,NULL,dans
1194,a-orient,151,NULL,10,10_2,NULL,confronte a l est avec
1196,a-orient,152,NULL,10,10_2,NULL,confronte a l est avec
1195,in,152,NULL,10,10_2,NULL,dans
1198,a-orient,153,NULL,10,10_2,NULL,confronte a l est avec
1197,in,153,NULL,10,10_2,NULL,dans
1199,in,154,NULL,10,10_2,NULL,dans
1201,a-orient,155,NULL,10,10_2,NULL,confronte a l est avec
1200,in,155,NULL,10,10_2,NULL,dans
1202,in,156,NULL,10,10_2,NULL,dans
1203,a-orient,156,NULL,10,10_2,NULL,confronte a l est avec
1205,a-orient,157,NULL,10,10_2,NULL,confronte a l est avec
1204,in,157,NULL,10,10_2,NULL,dans
1206,in,457,NULL,10,10_2,NULL,dans
1207,a-occident,457,NULL,10,10_2,NULL,confronte a l ouest avec
1208,a-circio,457,NULL,10,10_2,NULL,confronte au nord avec
1209,in,458,NULL,10,10_2,NULL,dans
1210,a-circio,458,NULL,10,10_2,NULL,confronte au nord avec
1212,in,459,NULL,10,10_2,NULL,dans
1213,a-meridie,459,NULL,10,10_2,NULL,confronte au sud avec
1215,a-meridie,460,NULL,10,10_2,NULL,confronte au sud avec
1214,in,460,NULL,10,10_2,NULL,dans
1216,in,461,NULL,10,10_2,NULL,dans
1217,a-meridie,461,NULL,10,10_2,NULL,confronte au sud avec
1219,a-occident,462,NULL,10,10_2,NULL,confronte a l ouest avec
1218,in,462,NULL,10,10_2,NULL,dans
1221,a-occident,463,NULL,10,10_2,NULL,confronte a l ouest avec
1220,in,463,NULL,10,10_2,NULL,dans
2323,in,1145,NULL,10,10_2,NULL,dans
2962,in,1146,NULL,10,10_1,NULL,dans
1311,in-capite,56,NULL,17,17_1,NULL,au debut de
1312,a-orient,56,NULL,17,17_1,NULL,confronte a l est avec
1313,a-orient,58,NULL,17,17_1,NULL,confronte a l est avec
1314,a-orient,59,NULL,17,17_1,NULL,confronte a l est avec
1315,a-orient,60,NULL,17,17_1,NULL,confronte a l est avec
1316,a-orient,62,NULL,17,17_1,NULL,confronte a l est avec
1317,a-orient,63,NULL,17,17_1,NULL,confronte a l est avec
1318,a-orient,64,NULL,17,17_1,NULL,confronte a l est avec
1319,a-orient,66,NULL,17,17_1,NULL,confronte a l est avec
1320,a-orient,69,NULL,17,17_1,NULL,confronte a l est avec
1321,a-orient,70,NULL,17,17_2,NULL,confronte a l est avec
1322,a-orient,73,NULL,17,17_2,NULL,confronte a l est avec
1323,a-orient,74,NULL,17,17_2,NULL,confronte a l est avec
1324,a-orient,76,NULL,17,17_2,NULL,confronte a l est avec
1325,a-orient,77,NULL,17,17_2,NULL,confronte a l est avec
1326,in,80,NULL,17,17_2,NULL,dans
1327,a-occident,80,NULL,17,17_2,NULL,confronte a l ouest avec
1329,a-orient,465,NULL,17,17_2,NULL,confronte a l est avec
1328,in-capite,465,NULL,17,17_1,NULL,au debut de
2292,a-occident,1133,NULL,17,17_1,NULL,confronte a l ouest avec
2291,in,1133,NULL,17,17_1,NULL,dans
3221,ab-una-part,2012,NULL,26,26_2,NULL,confronte avec
3220,in,2012,NULL,26,26_2,NULL,dans
3222,in,2013,NULL,26,26_2,NULL,dans
1885,in,6011,NULL,26,26_2,NULL,dans
1886,ab-una-part,6011,NULL,26,26_2,NULL,confronte avec
1888,in,6012,NULL,26,26_2,NULL,dans
1887,ab-una-part,6012,NULL,26,26_2,NULL,confronte avec
4230,in,7042,NULL,26,26_2,NULL,dans
4231,ab-una-part,7042,NULL,26,26_2,NULL,confronte avec
8035,NULL,9055,NULL,26,26_2,NULL,confronte au nord avec
8037,NULL,9056,NULL,26,26_2,NULL,confronte au nord avec
2188,a-meridie,1097,NULL,28,28_1,NULL,confronte au sud avec
2186,in,1097,NULL,28,28_1,NULL,dans
3223,in,2014,NULL,28,28_1,NULL,dans
3224,ab-una-part,2014,NULL,28,28_1,NULL,confronte avec
4237,in,7046,NULL,28,28_1,NULL,dans
2169,in,1090,NULL,29,29_1,NULL,dans
2173,ab-una-part,1091,NULL,29,29_1,NULL,confronte avec
2175,in,1091,NULL,29,29_1,NULL,dans
2178,in,1093,NULL,29,29_1,NULL,dans
2181,in,1094,NULL,29,29_1,NULL,dans
2183,in,1095,NULL,29,29_1,NULL,dans
3232,in,2018,NULL,29,29_1,NULL,dans
3234,in,2019,NULL,29,29_1,NULL,dans
3235,in,2020,NULL,29,29_1,NULL,dans
3236,ab-una-part,2020,NULL,29,29_1,NULL,confronte avec
3238,ab-una-part,2021,NULL,29,29_1,NULL,confronte avec
3239,in,2022,NULL,29,29_1,NULL,dans
3241,ab-una-part,2023,NULL,29,29_1,NULL,confronte avec
3243,ab-una-part,2024,NULL,29,29_1,NULL,confronte avec
3244,in,2025,NULL,29,29_1,NULL,dans
3245,ab-una-part,2025,NULL,29,29_1,NULL,confronte avec
3381,ab-una-part,2093,NULL,29,29_2,NULL,confronte avec
3380,in,2093,NULL,29,29_2,NULL,dans
3382,ab-una-part,2094,NULL,29,29_2,NULL,confronte avec
3383,ab-una-part,2095,NULL,29,29_2,NULL,confronte avec
4267,in,7061,NULL,29,29_1,NULL,dans
7973,NULL,9002,NULL,29,29_1,NULL,confronte a l est avec
7974,NULL,9003,NULL,29,29_1,NULL,confronte a l ouest avec
7975,NULL,9004,NULL,29,29_1,NULL,confronte a l ouest avec
7976,NULL,9005,NULL,29,29_1,NULL,confronte a l ouest avec
7978,NULL,9006,NULL,29,29_1,NULL,confronte a l ouest avec
7979,NULL,9007,NULL,29,29_1,NULL,confronte a l ouest avec
7980,NULL,9009,NULL,29,29_1,NULL,confronte a l est avec
7982,NULL,9010,NULL,29,29_1,NULL,confronte au nord avec
7981,NULL,9010,NULL,29,29_1,NULL,confronte a l est avec
7983,NULL,9011,NULL,29,29_1,NULL,confronte a l ouest avec
7986,NULL,9013,NULL,29,29_1,NULL,confronte a l est avec
7988,NULL,9015,NULL,29,29_1,NULL,confronte a l est avec
7997,NULL,9022,NULL,29,29_1,NULL,confronte a l ouest avec
7999,NULL,9023,NULL,29,29_1,NULL,confronte au sud avec
8000,NULL,9024,NULL,29,29_1,NULL,confronte a l ouest avec
5797,a-occident,81,NULL,32,32_2,NULL,confronte a l ouest avec
1927,a-occident,1010,NULL,32,32_2,NULL,confronte a l ouest avec
1926,in,1010,NULL,32,32_2,NULL,dans
