"idIndividu","identite","prenom","nom","surnom","provVille","titre","profession","chargeEccl","sante","provDioc","statut","residence","titre2","profession2","identiteNorm","genre","provVilleT","titreT","titreTN","professionT","professionTN","chargeEcclT","chargeEcclTN","provDiocT","santeT","statutT","statutTN","titre2T","titre2TN","profession2T","profession2TN","decedeAvant","mention1","prenomTN","nomTN","nomDetail","professionCategorie","professionTheme","identification","dateChargeEccl"
2361,"johannes de ruppemaura","johannes","de ruppemaura",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1376,"jean","de ruppemaura",NULL,NULL,NULL,"homme",NULL
2370,"beatrix johanna","beatrix","johanna",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380,"beatrice","johann","nom present",NULL,NULL,"femme",NULL
9178,"berenger fredol","berenger","fredol",NULL,NULL,NULL,NULL,"cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal des saints neree et achille eveque de tusculum","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1323,1323,"berenger","fredol",NULL,"clerge","clerge","homme",1305
9179,"berenger fredol le jeune","berenger","fredol",NULL,NULL,NULL,NULL,"cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal des saints neree et achille eveque de porto","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1323,1323,"berenger","fredol",NULL,"clerge","clerge","homme",1312
2944,"peyre adam","peyre","adam",NULL,"avinione",NULL,"mercadier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme","avignon",NULL,NULL,"marchand","marchand",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1359,"pierre","adam",NULL,"marchand","negoce","homme",NULL
790,"jacobus michaelis","jacobus","michaelis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1366,"jacques","michaelis",NULL,NULL,NULL,"homme",NULL
9195,"guillaume sudre","guillaume","sudre",NULL,NULL,NULL,NULL,"cardinal des saints jean et paul eveque d ostie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,"cardinal des saints jean et paul eveque d ostie","cardinal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1373,1373,"guillaume","sudre",NULL,"clerge","clerge","homme",1366
1960,"johannes renondelli","johannes","renondelli",NULL,NULL,"magister","scriptor litterarum apostolicarum",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme",NULL,"maitre","maitre","scribe des lettres apostoliques","scribe",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1387,"jean","renondelli",NULL,"metier de l ecrit","ecrit","homme",NULL
1959,"johannes porcelleti","johannes","porcelleti",NULL,NULL,"magister","procurator",NULL,NULL,NULL,"citoyen d avignon",NULL,NULL,NULL,NULL,"homme",NULL,"maitre","maitre","procureur","procureur",NULL,NULL,NULL,NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1376,"jean","porcelli",NULL,"metier du droit","droit","homme",NULL
4262,"soffretus juliani","soffretus","juliani",NULL,NULL,NULL,NULL,NULL,NULL,"avin diocesis","civis liber divisionis",NULL,NULL,NULL,NULL,"homme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"diocese d avignon",NULL,"citoyen","citoyen",NULL,NULL,NULL,NULL,NULL,1371,"soffretus","juliani",NULL,NULL,NULL,"homme",NULL
