"idLienIndividu","idIndividu1","idIndividu2","descriptionLien","typeLien"
1206,2489,2666,"palefrenier","LITRA"
1287,2756,103,"soeur","LIFAM"
1301,2545,2638,"tuteur","LIFAM"
97,716,1080,"scribe de la penitencerie","LITRA"
1200,1953,1080,"scribe","LITRA"
1228,2693,403,"camerier","LITRA"
1221,2686,1080,"scribe","LITRA"
1258,2728,1080,"abreviateur","LITRA"
1202,2488,2619,"heritier","LIFAM"
1945,9179,9178,"neveu","LIFAM"
1223,2501,1080,"scribe","LITRA"
49,878,1080,"scribe","LITRA"
71,1095,1080,"scribe","LITRA"
1242,2705,2833,"ecuyer","LITRA"
1322,2568,1072,"ecuyer","LITRA"
53,879,1072,"ecuyer","LITRA"
1268,2741,2742,"camerier","LITRA"
96,75,1049,"ecuyer","LITRA"
41,1047,1080,"sergent d armes","LITRA"
43,72,1080,"sergent d armes","LITRA"
111,890,1080,"sergent d armes","LITRA"
1218,2681,2682,"frere","LIFAM"
1217,2683,1080,"sergent d armes","LITRA"
1265,2627,1080,"sergent d armes","LITRA"
1890,2934,1080,"sergent d armes","LITRA"
1891,3023,1080,"sergent d armes","LITRA"
1283,2749,2750,"frere","LIFAM"
1442,2844,1080,"sergent d armes","LITRA"
1272,2535,2745,"tutrice","LIFAM"
1278,2535,2747,"tutrice","LIFAM"
1203,2490,2489,"epouse","LIFAM"
1209,568,2840,"epouse","LIFAM"
1213,2676,2678,"fille","LIFAM"
1210,2673,2674,"epouse","LIFAM"
1214,2496,1805,"epouse","LIFAM"
1234,2699,2509,"fille","LIFAM"
1220,2499,2498,"epouse","LIFAM"
1229,2694,2695,"epouse","LIFAM"
1233,2509,2620,"epouse","LIFAM"
1247,2716,2715,"fille","LIFAM"
1208,557,403,"chapelain","LITRA"
1207,2665,1080,"sergent d armes","LITRA"
273,249,250,"epouse","LIFAM"
1257,2722,2666,"familier","LIFAM"
50,151,403,"familier","LITRA"
95,75,1049,"familier","LITRA"
1299,2766,1080,"courrier","LITRA"
1231,2697,1080,"courrier","LITRA"
1261,2735,1080,"courrier","LITRA"
112,890,1072,"familier","LITRA"
1251,2521,2625,"fille","LIFAM"
1204,2664,1246,"fils","LIFAM"
1224,2689,2690,"fils","LIFAM"
1245,2710,2711,"fils","LIFAM"
1280,2630,2631,"fils","LIFAM"
1281,2537,2632,"fils","LIFAM"
1286,2541,2633,"fils","LIFAM"
1911,6421,3047,"fils","LIFAM"
1294,2542,2634,"fils","LIFAM"
1295,2763,811,"fils","LIFAM"
1273,1093,2629,"fils","LIFAM"
1514,2984,2455,"fils","LIFAM"
1311,2772,1601,"fils","LIFAM"
1317,2779,2778,"fils","LIFAM"
1319,2782,2783,"fils","LIFAM"
1325,2569,2641,"fils","LIFAM"
1326,2569,2563,"fils","LIFAM"
1284,2539,2540,"frere","LIFAM"
1288,2758,2757,"frere","LIFAM"
1507,2975,1317,"frere","LIFAM"
1314,2558,1019,"frere","LIFAM"
1219,2684,1080,"grossateur","LITRA"
1201,2487,2282,"heritier","LIFAM"
1205,2664,1246,"heritier","LIFAM"
1225,2502,2691,"heritier","LIFAM"
1230,2196,2694,"heritier","LIFAM"
1232,2505,828,"heritier","LIFAM"
1249,2717,2719,"heritier","LIFAM"
1253,2720,2521,"heritier","LIFAM"
1889,7543,757,"heritier","LIFAM"
1279,2537,2630,"heritier","LIFAM"
1312,2772,1601,"heritier","LIFAM"
1324,2731,38,"heritier","LIFAM"
1329,2792,2569,"heritier","LIFAM"
1330,2794,211,"heritier","LIFAM"
1331,2795,211,"heritier","LIFAM"
1227,2692,339,"petit fils neveu","LIFAM"
1920,9069,9070,"veuve","LIFAM"
1222,2500,2687,"veuve","LIFAM"
1256,2723,2724,"epouse dorenavant","LIFAM"
900,1854,1705,"epouse dorenavant","LIFAM"
1241,2704,2705,"veuve","LIFAM"
1248,2520,2448,"veuve","LIFAM"
1297,2544,2636,"veuve","LIFAM"
1235,2699,2279,"epouse","LIFAM"
1236,2700,2701,"epouse","LIFAM"
1237,2511,2621,"epouse","LIFAM"
1238,2512,2622,"epouse","LIFAM"
1239,2202,2623,"epouse","LIFAM"
1240,2513,2624,"epouse","LIFAM"
1243,2707,2706,"epouse","LIFAM"
1244,2516,2515,"epouse","LIFAM"
1347,750,1080,"tresorier","LITRA"
1439,1010,113,"patissier","LITRA"
1343,2572,2571,"epouse","LIFAM"
245,1021,1080,"sergent d armes","LITRA"
1333,2643,282,"fils","LIFAM"
1946,701,9200,"neveu","LIFAM"
1395,774,1080,"scribe","LITRA"
1396,396,1080,"scribe","LITRA"
248,910,1080,"scribe et correcteur des lettres","LITRA"
1377,879,1072,"ecuyer","LITRA"
1378,75,1049,"ecuyer","LITRA"
1379,84,113,"ecuyer","LITRA"
1380,100,750,"ecuyer","LITRA"
1381,153,1072,"ecuyer","LITRA"
1382,107,1080,"ecuyer","LITRA"
1383,904,1080,"ecuyer","LITRA"
