id,nom,dassign,x_etiq,y_etiq,angle_etiq,type,idsave,xcoord,ycoord,longitude,latitude,longitudeHypo,latitudeHypo
206,Livree de Poitiers,,844861.737919,6318237.971715,,Livree,1,844885.0404485698,6318252.65155483,,,,
207,Livree de Saluce,,,,,Livree,2,845351.577022396,6318509.769528177,,,,
208,Livree de la Porte Aurose,,,,,Livree,3,845244.907501673,6318599.317187795,,,,
209,Livree de Dax,,,,,Livree,4,844962.2019349047,6318263.972758519,,,,
210,Livree de la Saunerie,,,,,Livree,5,845318.0590522782,6318384.579130471,,,,
211,Livree de la Vergne ou Ceccano,,,,,Livree,6,845027.2837204612,6318012.086136515,,,,
212,Livree de Naples,,,,,Livree,7,844936.0770912243,6318116.194711419,,,,
213,Livree de Giffons puis de Cabassole,,,,,Livree,8,845139.5948221497,6318007.850463917,,,,
214,Livree de Venise,,,,,Livree,9,845031.1100793952,6317928.503205015,,,,
215,Livree de Viviers,,,,,Livree,10,845245.633770696,6318088.778422099,,,,
216,Livree de Petramale,,,,,Livree,11,845207.7487230153,6317954.27496944,,,,
217,Livree de Saint-Genies,,,,,Livree,12,845107.443464007,6318233.991342829,,,,
218,Livree du Puy,,,,,Livree,13,845201.3016874309,6318148.924421891,,,,
219,Livree d'Auch,,,,,Livree,14,844852.2623957116,6318417.098272387,,,,
220,Livree d'Amiens,,,,,Livree,15,844677.2370737777,6318343.929959694,,,,
221,Livree d'Albano,,,,,Livree,16,844913.2915421961,6318357.138239048,,,,
222,Livree Saint Ange,,,,,Livree,17,844936.112074591,6318685.955313407,,,,
223,Livree de Mirault,,,,,Livree,18,844962.7254830382,6318551.191621417,,,,
224,Livree de Cambrai,,,,,Livree,19,844813.8168410651,6318096.869007847,,,,
225,Petit-Palais,,,,,Livree,20,844989.545448626,6318748.932427975,,,,
226,Livree de Thury,,,,,Livree,21,845044.4219372801,6318352.95125406,,,,
227,Livree de Florence,,,,,Livree,22,845279.0327623744,6318270.881635737,,,,
228,Livree d'Auxerre,,,,,Livree,23,845214.8387611143,6318487.330654008,,,,
229,Livree de Saint-Martial,,,,,Livree,24,845123.4507273791,6318445.01948236,,,,
615,Livree de Pampelune,,,,,Livree,,845155.3191768309,6318101.396425646,,,,
