"id","nom","nomlatin","type","the_geom","xcoord","ycoord","idsave","datePremiereMention","dateDebutConst1","dateFinConst1","dateDestr1","dateDebutConst2","dateFinConst2","dateDestr2"
236,"Portail Boquier interieur",NULL,"Portail","01010000206A080000ADBD079C27C929414D49D41ADB195841","844947.804746559","6317932.41920693",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
238,"Portail Briançon interieur",NULL,"Portail","01010000206A080000261D495AEFC72941E494CE44131A5841","844791.676339064","6318157.07510874",9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,"Portail de l'Évêque interieur",NULL,"Portail","01010000206A0800005C51A35234C82941ED9885E2E6195841","844826.161402266","6317979.53940414",8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
231,"Portail des Infirmières interieur",NULL,"Portail","01010000206A08000092633FDFDFCC2941424EA7817E1A5841","845423.936030494","6318586.02583653",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,"Portail du Pont-Fract interieur",NULL,"Portail","01010000206A08000016AC16B156CA29417F25C38FDA195841","845099.3458761","6317930.2462858",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
234,"Portail Magnanen interieur",NULL,"Portail","01010000206A0800005FA7267F7FCB294168E133DAD9195841","845247.74834178","6317927.40941653",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
232,"Portail Matheron interieur",NULL,"Portail","01010000206A080000757B7B0701CD2941EB061E134A1A5841","845440.51461397","6318376.2987077",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
240,"Portail Pertuis interieur",NULL,"Portail","01010000206A0800009F17D9804FC8294129092194651A5841","844839.751656283","6318486.31451634",11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239,"Portail Saint-Agricol interieur",NULL,"Portail","01010000206A0800008563E30CF9C7294151D1F952381A5841","844796.525172338","6318305.29649766",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
266,"Porte Ayguière neuve",NULL,"PorteXIV","01010000206A080000806DA3AF99C82941016A78F5A51A5841","844876.84304373","6318743.83547449",37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,"Porte Imbert neuve",NULL,"PorteXIV","01010000206A0800008F0CC81301CF2941742A8123B7195841","845696.538635628","6317788.55475866",43,NULL,NULL,NULL,NULL,NULL,NULL,NULL
274,"Portail des Salins",NULL,"PorteXIV","01010000206A0800007ADC7BF356CF2941F2CF7F4AA61A5841","845739.475554361","6318745.16405104",45,NULL,NULL,NULL,1490,NULL,NULL,NULL
269,"Portail du Port des Périers",NULL,"PorteXIV","01010000206A08000029862F3DDAC42941EF1F240DED195841","844397.119503205","6318004.20532988",40,NULL,NULL,NULL,1490,NULL,NULL,NULL
242,"Portail Pertuis",NULL,"Porte","01010000206A08000039C9CA1AE5C72941D260BDDF681A5841","844786.552328385","6318499.49593373",13,NULL,1215,1222,1226,1234,1248,1847
243,"Porte Ayguière",NULL,"Porte","01010000206A080000186A98EEF0C82941503C7154A01A5841","844920.46600658","6318721.31941135",14,NULL,1215,1222,1226,1234,1248,1751
244,"Portail Saint-Agricol",NULL,"Porte","01010000206A080000DD077B9DA7C72941FE344C9F3A1A5841","844755.807579275","6318314.48902631",15,NULL,1215,1222,1226,1234,1248,NULL
251,"Portail Matheron",NULL,"Porte","01010000206A08000022F6C5424ECD2941F3D7A774501A5841","845479.130416576","6318401.82274436",22,NULL,1215,1222,1226,1234,1248,1750
252,"Portail des Infirmières",NULL,"Porte","01010000206A0800009C95108324CD2941B31826957F1A5841","845458.255985904","6318590.33045022",23,NULL,1215,1222,1226,1234,1248,1750
253,"Porte Aurose",NULL,"Porte","01010000206A08000026F1DCBEB6CB2941390AF4F3A11A5841","845275.372779404","6318727.81177002",24,NULL,1215,1222,1226,1234,1248,1738
267,"Porte Saint-Jacques",NULL,"PorteXIV","01010000206A0800003AB57E7918C729418A7B42CD5F1A5841","844684.23729483","6318463.20718277",38,NULL,NULL,NULL,1490,NULL,NULL,NULL
268,"Porte des Prêcheurs",NULL,"PorteXIV","01010000206A080000BD79190EAFC5294109D2F1730B1A5841","844503.527538113","6318125.81163455",39,NULL,NULL,NULL,1490,NULL,NULL,NULL
245,"Portail Briançon",NULL,"Porte","01010000206A0800004B03E16594C729414A5F406F121A5841","844746.198982337","6318153.73830397",16,NULL,1215,1222,1226,1234,1248,1750
246,"Portail de l'Évêque",NULL,"Porte","01010000206A0800009950EE63E8C72941D1C24960E4195841","844788.195177573","6317969.50450201",17,NULL,1215,1222,1226,1234,1248,1750
247,"Portail Boquier",NULL,"Porte","01010000206A080000A3406CE9FCC829419AFD80E1D1195841","844926.455904026","6317895.52349796",18,NULL,1215,1222,1226,1234,1248,1700
248,"Portail du Pont-Fract",NULL,"Porte","01010000206A08000050A8E9CC51CA29416F9A61B3CF195841","845096.900220165","6317886.80283223",19,NULL,1215,1222,1226,1234,1248,1738
249,"Portail Magnanen",NULL,"Porte","01010000206A0800004C86E7139ACB294154A829CFCF195841","845261.038875767","6317887.23691757",20,NULL,1215,1222,1226,1234,1248,1750
250,"Porte Imbert",NULL,"Porte","01010000206A080000515F4C861CCD2941D6157510ED195841","845454.262301425","6318004.25714632",21,NULL,1215,1222,1226,1234,1248,1750
561,NULL,NULL,"Vestige Tour","01010000206A0800007328B237F7C7294192F56943E2195841","844795.608781113","6317961.05334224",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
562,NULL,NULL,"Vestige Tour","01010000206A0800002D5A7A2B23C8294145F61C02DC195841","844817.584917849","6317936.0330177",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
563,NULL,NULL,"Vestige Tour","01010000206A0800002124225974C829415396EBCDD7195841","844858.174088601","6317919.2175041",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
564,NULL,NULL,"Vestige Tour","01010000206A0800004689DA83D2C82941649C83E9D3195841","844905.257526674","6317903.64865789",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
565,NULL,NULL,"Vestige Tour","01010000206A0800000CAD976434C929418A149126D1195841","844954.196469696","6317892.60260499",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
566,NULL,NULL,"Vestige Tour","01010000206A080000E34B6B74FFC929412FDB3E69CF195841","845055.727381107","6317885.64446144",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
567,NULL,NULL,"Vestige Tour","01010000206A0800007FD1E6946CCA294123BFC4E3D0195841","845110.290823504","6317891.55888346",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
568,NULL,NULL,"Vestige Tour","01010000206A08000093B3C67FD3CA2941BAAB8131D1195841","845161.749562847","6317892.77353948",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
569,NULL,NULL,"Vestige Tour","01010000206A0800005F918C05F3CB29412751B025D5195841","845305.510838073","6317908.58888654",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
570,NULL,NULL,"Vestige Tour","01010000206A0800006364494038CC29418A15D0C2D9195841","845340.125559938","6317927.04395045",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
571,NULL,NULL,"Vestige Tour","01010000206A080000590E017A78CC29415ED61C28DE195841","845372.238289307","6317944.62676009",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
230,"Portail Aurose",NULL,"Portail","01010000206A080000185755F89ACB294122477AB79A1A5841","845261.485026094","6318698.86683825",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
233,"Portail Imbert",NULL,"Portail","01010000206A0800008C2DA568E9CC2941AA7BF00FF3195841","845428.704385208","6318028.24905292",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
241,"Portail Ayguière",NULL,"Portail","01010000206A08000044824FE1E6C82941CE8A001F8E1A5841","844915.440059729","6318648.48440809",12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,"Portes des Miracles",NULL,"PorteXIV","01010000206A08000027F45DBE58C529411AA226E0A5195841","844460.37181056","6317719.50235798",41,NULL,NULL,NULL,NULL,NULL,NULL,NULL
271,"Porte Saint-Antoine",NULL,"PorteXIV","01010000206A0800000F577A5F1ACB2941906F73738F195841","845197.186480256","6317629.80392064",42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
273,"Porte Saint-Lazare",NULL,"PorteXIV","01010000206A080000D198A6B775D12941508E1D6A7F1A5841","846010.858692909","6318589.65805395",44,NULL,NULL,NULL,NULL,NULL,NULL,NULL
311,"Porte du Limas",NULL,"PorteXIV","01010000206A080000C934DA27AFC52941AEF6A6770B1A5841","844503.577836656","6318125.86956565",82,NULL,NULL,NULL,NULL,NULL,NULL,NULL
312,"Châtelet",NULL,"Chatelet","01010000206A0800006C67A08F02C929414A828C86AD1A5841","844929.28052066","6318774.10232599",83,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,"Porte Aurose neuve",NULL,"PorteXIV","01010000206A080000CB02BE9C92CC294142A5B618BA1A5841","845385.306137168","6318824.3861478",47,NULL,NULL,NULL,NULL,NULL,NULL,NULL
275,"Porte de la Palapharnerie",NULL,"PorteXIV","01010000206A080000D008583D3ECD2941E14B84D1BC1A5841","845471.119812274","6318835.27369973",46,NULL,NULL,NULL,1490,NULL,NULL,NULL
572,NULL,NULL,"Vestige Tour","01010000206A080000808758A2BFCC294174B474EFE3195841","845407.817081675","6317967.7414981",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
573,NULL,NULL,"Tour","01010000206A080000B8DCEBE0C7C82941A76EB673AA1A5841","844899.939299486","6318761.80800978",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
574,NULL,NULL,"Tour","01010000206A08000047CD26D1D2C72941225F54A9881A5841","844777.40849916","6318626.64577463",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
575,NULL,NULL,"Tour","01010000206A0800006C4BE3C55FC72941D08B0FA4751A5841","844719.886499745","6318550.56344886",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
576,NULL,NULL,"Tour","01010000206A08000084E595F370C62941B14F244C331A5841","844600.475752995","6318285.18971627",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
577,NULL,NULL,"Tour","01010000206A080000D5DDA352FFC52941438404AB1C1A5841","844543.661406452","6318194.67215067",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
578,NULL,NULL,"Tour","01010000206A080000C00990DE8DC52941C94306B8041A5841","844486.934692673","6318098.87538237",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
579,NULL,NULL,"Tour","01010000206A0800002FD6BF2280C429413E57F447D0195841","844352.067869848","6317889.12428838",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
580,NULL,NULL,"Tour","01010000206A080000E2EB2F298EC42941E2A1D5B2B3195841","844359.080443736","6317774.79428908",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
581,NULL,NULL,"Tour","01010000206A080000F7257D07E7C52941E63A447F9A195841","844531.514626681","6317673.98853943",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
582,NULL,NULL,"Tour","01010000206A080000243BE18E82C629411F401AF697195841","844609.279062126","6317663.8453522",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
583,NULL,NULL,"Tour","01010000206A08000046A9843B6FC72941411820D595195841","844727.6162465","6317655.33008391",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
584,NULL,NULL,"Tour","01010000206A080000BBAEA6295FC829413014EB3393195841","844847.581349812","6317644.81122307",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
585,NULL,NULL,"Tour","01010000206A0800007AB1FA564DC9294104A2985290195841","844966.669881388","6317633.29056597",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
586,NULL,NULL,"Tour","01010000206A0800003D0175053ECA2941B20A1A118D195841","845087.010658301","6317620.26721446",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
587,NULL,NULL,"Tour","01010000206A080000AA324C221FCC2941EFB005F799195841","845327.566987594","6317671.85972236",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
588,NULL,NULL,"Tour","01010000206A08000035B92D961BCD2941F86EDD83A4195841","845453.793317592","6317714.06039023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
589,NULL,NULL,"Tour","01010000206A0800005727D14208CE29414A2AE74FAD195841","845572.130501966","6317749.2484842",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
590,NULL,NULL,"Tour","01010000206A0800009E108C748BCF29410A7BB9C7CF195841","845765.72763111","6317887.12069584",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
591,NULL,NULL,"Tour","01010000206A080000DEC6C59FE9CF294161E3B1DBE9195841","845812.812055792","6317991.43273243",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
592,NULL,NULL,"Tour","01010000206A080000E166400F51D0294131FC7BB8051A5841","845864.529788222","6318102.88256745",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
593,NULL,NULL,"Tour","01010000206A08000026CA6882C0D02941C081FCF4201A5841","845920.254705732","6318211.82791179",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
594,NULL,NULL,"Tour","01010000206A080000CB4BBAF32BD129414885E2E03A1A5841","845973.976030701","6318315.51382572",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
