idQuartier,nom,nomtrad,area,perimeter,xcoord,ycoord,longitude,latitutde,longitudeHypo,latitudeHypo
2,,Paroisse Saint-Symphorien,231803.392089844,2386.8700097068,845442.069234598,6318608.75148966,,,,
5,,Paroisse Notre-Dame de la Principale,65656.498046875,1876.1522316967,845218.221475176,6318060.05727705,,,,
9,patuis communitatis citra Durenciam,,,,,,,,,
12,,Juiverie,,,845209.058703099,6318283.39370244,,,,
7,,Paroisse Saint-Agricol,373269.437988281,3044.75354188036,844710.514569413,6318040.95234183,,,,
10,patuis ultra Durenciam sive ultra portum Rononachii,,,,,,,,,
11,riperia rodani,,,,,,,,,
8,Damach,,,,,,,,,
6,,Paroisse Saint-Didier,198302.418457031,2111.2734592399,845120.879876022,6317845.90718089,,,,
1,,Paroisse Saint-Etienne,131387.749023438,1559.77810478022,844990.972794224,6318618.71631466,,,,
3,,Paroisse Saint-Pierre,300830.109863281,3011.03407313142,845644.720803614,6318338.72908472,,,,
4,,Paroisse Saint-Geniès,162614.203125,1988.48015270371,845516.928452822,6317997.64377152,,,,
