id,nom,nomActuel,length,type,detailLoc,length_2,rueCourte
544,Plan du Saul,,,Place,,13.7040461783551,14
473,Rue allant a la Taverne des Carels,,,Rue,,52.512021467916,53
737,Traverse a cote de la Poissonnerie,,,Traverse,,36.474989690809,36
37,Rue Grolerie,,52.3580039556343,Rue,,54.3384261267446,54
25,Rue Corderie,,41.0547415842997,Rue,,45.8592770182236,46
50,Rue Saint Jean,,71.4503079513447,Rue,,74.0803249712729,74
102,Rue de la Bulle,,,Rue,,63.3519173530413,63
471,Rue allant vers le sextier,,,Rue,,69.7282333394945,70
481,Rue allant du palais apostolique a l'eglise Notre-Dame des Doms,,,Rue,,47.2923693642497,47
33,Rue Malgrenier,,81.6599259910583,Rue,,45.1524782884985,45
479,Traverse allant au palais episcopal,,,Traverse,,64.4140414850271,64
779,rue de la monnaie,,,Rue,,37.5932697763604,38
778,traverse allant a Saint-Antoine,,,Traverse,,44.2234312667597,44
93,Traverse de Sainte-Catherine,,,Traverse,,30.7615650590528,31
736,Place des Cavaliers,,,Place,,16.096910763988,16
543,Place de la Saunerie,,,Place,,39.1830745560545,39
55,Rue Pelleterie Neuve,,77.7168424236342,Rue,,77.5182058061879,78
81,Place du puit des boeufs,,28.6591475793256,Place,,28.6591475793256,29
660,Place du Colombier,,,Place,,4.99795694446794,5
51,Rue Ferraterie,,60.1831984056677,Rue,,60.1831984056677,60
727,Rue Sainte-Perpetue,,,Rue,,61.0696572141283,61
711,Rue close de l'eglise Saint-Pierre,,,Rue,,23.6981926918782,24
97,Rue de l'Amelhier,,,Rue,,56.2714609770791,56
619,Rue allant de la rue Peyrolerie a la Place du Costel,,,Rue,,42.4312255539036,42
15,Traverse derriere le Temple,,42.6927986911675,Traverse,,44.750738741457,45
712,Place devant Saint-Pierre,,,Place,,16.5138048204226,17
710,Rue qui va a la Saunerie,,,Rue,,13.1692759300529,13
100,Traverse de la Porte Aurose,,,Traverse,,43.3768562956153,43
90,Rue allant aux escaliers de Notre-Dame des Doms,,,Rue,,43.8171526624661,44
489,Place du Costel,,,Place,,60.4800720955645,60
74,Plan de Lunel,,38.077984921425,Place,,23.4616898305125,23
79,Place du Portail Brianson,,35.7445533058194,Place,,18.0089074605977,18
23,Rue du Marechal,,68.6420595005818,Rue,,73.2330018581049,73
80,Place du Portail Boquier,,17.5828244457916,Place,,10.5391527935415,11
6,Rue Lancerie,,73.0611259854356,Rue,,73.0611259854356,73
94,Traverse qui va vers la livree de Vabrensis,,,Traverse,,33.9313573954259,34
618,Rue allant de l'eglise Sainte-Madeleine au Puit des Boeufs,,,Rue,,70.4583398635287,70
91,Impasse ,,,Impasse,,31.6726330233376,32
41,,,46.6895311167928,Rue,,46.6895311167928,47
13,Rue du Portail Brianson,,56.4222418920834,Rue,,58.8456248785042,59
104,Place de l'Orme,,,Place,,7.78610141201344,8
20,Rue Saint Antoine,,66.6395896508923,Rue,,73.654629289013,74
19,Rue Vieille Triperie,,78.2112260477905,Rue,,82.9065448627628,83
621,Traverse allant a la livree de Thury,,,Impasse,,25.0020446661401,25
9,Rue des Ortolans,,54.5673245709163,Rue,,59.5795031779318,60
101,Rue des Trois Pilats,,,Rue,,55.7454580447755,56
65,Rue Brocarie,,40.9171968606822,Rue,,44.7084464148844,45
622,Rue allant de la Saunerie a la rue Sainte-Croix,,,Rue,,60.1332523335539,60
64,Rue Sabaterie,,35.434109640344,Rue,,39.713801732602,40
58,Rue de la Livree de Pampelune,,89.1317979161085,Rue,,93.2345386290279,93
69,Rue du Portail Boquier,,47.3314490700219,Rue,,71.7786260268544,72
62,Rue Principale,,87.0953146851612,Rue,,90.8305367545417,91
78,Place du Limas,,59.8139253695092,Place,,47.5245025878224,48
96,Rue proche du Plan de Lunel et du Portail Brianson,,,Rue,,66.6311857098951,67
103,Rue Petite Meuse,,,Rue,,79.9642936548802,80
95,Traverse qui mene vers la maison de Philippe Cabassole,,,Traverse,,27.8473841508395,28
89,Place de la Pignotte,,52.0044013990133,Place,,18.3994855395624,18
66,Rue du change,,47.8465822031978,Rue,,47.8465822031978,48
713,,,,,,44.5895984729168,45
112,Traverse allant de la rue des masses aux lices,,,Traverse,,96.9769054233772,97
107,Rue du Four des chanoines,,,Rue,,42.857112093445,43
108,Place de le porte Aiguiere,,,Place,,19.9764012860752,20
114,Place des Periers,,,Place,,18.8708108496,19
109,Rue vers les lices des freres Precheurs,,,Rue,,50.7550415792241,51
105,Rue sous le grand marche,,,Rue,,47.9840278501247,48
11,Rue du Four de la Vieille Bouquerie,,76.7557252884893,Rue,,81.2435846398258,81
12,Rue des Retrans ou des Banons,,60.3272408820646,Rue,,61.2667384542697,61
485,Place Bulle,,,Place,,5.89568478431528,6
749,,,,,,99.402488329073,99
47,Rue de la Fromagie,,54.1580615493138,Rue,,57.1168298335283,57
92,Traverse Trouillas,,,Traverse,,37.7609669530445,38
39,Rue au marche au fil,,65.0287568306928,Rue,,81.4022613502709,81
77,Place de l'eglise Sainte-Catherine,,18.5827762046223,Place,,18.5827762046223,19
76,Place de l'eglise Notre-Dame La Principale,,41.5521628884623,Place,,41.5521628884623,42
774,rue publique,,,Rue,,52.7333973009932,53
75,Place des Changes,,35.3560540617201,Place,,15.3710017319428,15
98,Rue du Portail Brianson aux frere precheurs,,,Rue,,40.4044782573961,40
115,Place des Lombards,,,Place,,29.572621426597,30
