idBien;idIndividu;ordreSuccession;date1reconnaissanceMin;date2reconnaissanceMax;sureteDate
BD_1;1;1;1366;1368;S
BD_2;2;1;1366;1368;S
BD_3;3;1;1366;1368;S
BD_4;4;1;1366;1368;S
BD_4;5;1;1366;1368;S
BD_5;7;1;1366;1368;S
BD_5;6;1;1366;1368;S
BD_6;8;1;1366;1368;S
BD_7;9;1;1366;1368;S
BD_8;9;1;1366;1368;S
BD_9;10;1;1366;1368;S
BD_10;11;1;1366;1368;S
BD_11;12;1;1366;1368;S
BD_12;13;1;1366;1368;S
BD_13;14;1;1366;1368;S
BD_14;15;1;1366;1368;S
BD_15;16;1;1366;1368;S
BD_16;17;1;1366;1368;S
BD_17;18;1;1366;1368;S
BD_18;19;1;1366;1368;S
BD_19;21;1;1366;1368;S
BD_19;20;1;1366;1368;S
BD_20;21;1;1366;1368;S
BD_20;20;1;1366;1368;S
BD_21;22;1;1366;1368;S
BD_22;22;1;1366;1368;S
BD_23;23;1;1366;1368;S
BD_24;24;1;1366;1368;S
BD_25;25;1;1366;1368;S
BD_26;26;1;1366;1368;S
BD_27;26;1;1366;1368;S
BD_28;27;1;1366;1368;S
BD_29;28;1;1366;1368;S
BD_29;29;1;1366;1368;S
BD_29;30;1;1366;1368;S
BD_30;31;1;1366;1368;S
BD_31;32;1;1366;1368;S
BD_32;35;1;1366;1368;S
BD_32;33;1;1366;1368;S
BD_32;32;1;1366;1368;S
BD_32;34;1;1366;1368;S
BD_33;35;1;1366;1368;S
BD_33;34;1;1366;1368;S
BD_33;33;1;1366;1368;S
BD_34;36;1;1366;1368;S
BD_35;37;1;1366;1368;S
BD_36;38;1;1366;1368;S
BD_37;32;1;1366;1368;S
BD_38;39;1;1366;1368;S
BD_39;40;1;1366;1368;S
BD_40;41;1;1366;1368;S
BD_41;42;1;1366;1368;S
BD_42;43;1;1366;1368;S
BD_43;43;1;1366;1368;S
BD_44;30;1;1366;1368;S
BD_44;28;1;1366;1368;S
BD_44;29;1;1366;1368;S
BD_45;44;1;1366;1368;S
BD_45;45;1;1366;1368;S
BD_46;46;1;1366;1368;S
BD_47;47;1;1366;1368;S
BD_48;49;1;1366;1368;S
BD_48;48;1;1366;1368;S
BD_49;50;1;1366;1368;S
BD_50;34;1;1366;1368;S
BD_51;51;1;1366;1368;S
BD_52;52;1;1366;1368;S
BD_53;53;1;1366;1368;S
BD_53;52;1;1366;1368;S
BD_53;54;1;1366;1368;S
BD_54;55;1;1366;1368;S
BD_55;56;1;1366;1368;S
BD_56;58;1;1366;1368;S
BD_56;57;1;1366;1368;S
BD_57;60;1;1366;1368;S
BD_57;59;1;1366;1368;S
BD_58;61;1;1366;1368;S
BD_59;62;1;1366;1368;S
BD_59;63;1;1366;1368;S
BD_60;51;1;1366;1368;S
BD_61;63;1;1366;1368;S
BD_62;64;1;1366;1368;S
BD_63;65;1;1366;1368;S
BD_64;66;1;1366;1368;S
BD_65;67;1;1366;1368;S
BD_66;68;1;1366;1368;S
BD_67;69;1;1366;1368;S
BD_68;70;1;1366;1368;S
BD_69;71;1;1366;1368;S
BD_70;72;1;1366;1368;S
BD_71;165;1;1366;1368;S
BD_72;165;1;1366;1368;S
BD_73;74;1;1366;1368;S
BD_74;75;1;1366;1368;S
BD_75;403;1;1366;1368;S
BD_76;76;1;1366;1368;S
BD_77;77;1;1366;1368;S
BD_78;78;1;1366;1368;S
BD_79;79;1;1366;1368;S
BD_80;80;1;1366;1368;S
BD_81;81;1;1366;1368;S
BD_82;82;1;1366;1368;S
