idQuartier;nomtrad;area;perimeter;idLivree;nom_2
2;Paroisse Saint-Symphorien;231803.392089844;2386.8700097068;229;Livrée de Saint-Martial
2;Paroisse Saint-Symphorien;231803.392089844;2386.8700097068;228;Livrée d'Auxerre
2;Paroisse Saint-Symphorien;231803.392089844;2386.8700097068;208;Livrée de la Porte Aurose
2;Paroisse Saint-Symphorien;231803.392089844;2386.8700097068;207;Livrée de Saluce
2;Paroisse Saint-Symphorien;231803.392089844;2386.8700097068;210;Livrée de la Saunerie
5;Paroisse Notre-Dame de la Principale;65656.498046875;1876.1522316967;615;Livrée de Pampelune
5;Paroisse Notre-Dame de la Principale;65656.498046875;1876.1522316967;218;Livrée du Puy
5;Paroisse Notre-Dame de la Principale;65656.498046875;1876.1522316967;215;Livrée de Viviers
12;Juiverie;;;227;Livrée de Florence
7;Paroisse Saint-Agricol;373269.437988281;3044.75354188036;219;Livrée d'Auch
7;Paroisse Saint-Agricol;373269.437988281;3044.75354188036;221;Livrée d'Albano
7;Paroisse Saint-Agricol;373269.437988281;3044.75354188036;220;Livrée d'Amiens
7;Paroisse Saint-Agricol;373269.437988281;3044.75354188036;226;Livrée de Thury
7;Paroisse Saint-Agricol;373269.437988281;3044.75354188036;224;Livrée de Cambrai
7;Paroisse Saint-Agricol;373269.437988281;3044.75354188036;212;Livrée de Naples
7;Paroisse Saint-Agricol;373269.437988281;3044.75354188036;209;Livrée de Dax
7;Paroisse Saint-Agricol;373269.437988281;3044.75354188036;206;Livrée de Poitiers
6;Paroisse Saint-Didier;198302.418457031;2111.2734592399;615;Livrée de Pampelune
6;Paroisse Saint-Didier;198302.418457031;2111.2734592399;212;Livrée de Naples
6;Paroisse Saint-Didier;198302.418457031;2111.2734592399;211;Livrée de la Vergne ou Ceccano
6;Paroisse Saint-Didier;198302.418457031;2111.2734592399;214;Livrée de Venise
6;Paroisse Saint-Didier;198302.418457031;2111.2734592399;213;Livrée de Giffons puis de Cabassole
6;Paroisse Saint-Didier;198302.418457031;2111.2734592399;216;Livrée de Pétramale
1;Paroisse Saint-Etienne;131387.749023438;1559.77810478022;219;Livrée d'Auch
1;Paroisse Saint-Etienne;131387.749023438;1559.77810478022;222;Livrée Saint Ange
1;Paroisse Saint-Etienne;131387.749023438;1559.77810478022;225;Petit-Palais
1;Paroisse Saint-Etienne;131387.749023438;1559.77810478022;223;Livrée de Mirault
3;Paroisse Saint-Pierre;300830.109863281;3011.03407313142;226;Livrée de Thury
3;Paroisse Saint-Pierre;300830.109863281;3011.03407313142;227;Livrée de Florence
3;Paroisse Saint-Pierre;300830.109863281;3011.03407313142;210;Livrée de la Saunerie
4;Paroisse Saint-Geniès;162614.203125;1988.48015270371;218;Livrée du Puy
4;Paroisse Saint-Geniès;162614.203125;1988.48015270371;217;Livrée de Saint-Geniès
4;Paroisse Saint-Geniès;162614.203125;1988.48015270371;215;Livrée de Viviers
