Id	Type	Detail	Qualif	InfoSup	Mesure	materiaux	idQuartier	idRue	idBourg	idSeigneurie	idRedevance	TypeRedevance	Nature	echellemontant	Montant	Montant2	nbProprio	idproprio1	identite1	profession1	profession1bis	titre1	titre1bis	chargeecclesiastique1	statut1	idproprio2	identite2	profession2	profession2bis	titre2	titre2bis	chargeecclesiastique2	statut2	idproprio3	identite3	profession3	profession3bis	titre3	titre3bis	chargeecclesiastique3	statut3	idproprio4	identite4	profession4	profession4bis	titre4	titre4bis	chargeecclesiastique4	statut4
/BD_1	biendeclare	hospitium					1	108		1	1	cens		5	2 sol. bon. tur. parv.		1	1	micheletus granerii	cursor																													
/BD_2	biendeclare	hospitium					1	108		1	2	cens		5	3 sol. bon. tur. parv.		1	2	johannes vierni	cursor																													
/BD_3	biendeclare	operatorium			de profundo ad intra versus parietem interiorem octo bonos passus hominis vel circa		5	75		1	3	cens		3	17 den. et 1 pict. bon. tur. parv.		1	3	alamandus gueti	mercator pannorum																													
/BD_4	biendeclare	hospitium cum operatorium			de profundo ad intra versus parietem interiorem citra novem bonos passus hominis		5	75		1	4	cens		6	6 sol. 3 den. et ob. et 1 pict. bon. tur. parv.		2	5	johannes blanchi	campsor					civis avinionensis	4	ludovicus blanchi 	campsor					civis avinionensis																
/BD_5	biendeclare	hospitium			de profundo ad intra versus parietem interiorem octo bonos passus hominis vel circa		5	75		1	5	cens		5	4 sol. 11 den. bon. tur. parv.		2	6	roza teulerie							7	agnesia teulerie																						
/BD_6	biendeclare	hospitium					4	55		1	6	cens		3	18 den. bon. tur. parv.	10 sol. bon. tur.	1	8	philippa arlaya																														
/BD_7	biendeclare	2 operatoria					4	55		1	7	cens		5	2 sol. 1 ob. bon. tur. parv.		1	9	franciscus chabaudi	mercator sive bladerius																													
/BD_8	biendeclare	operatorium	magnum				4	55		1	8	cens		5	3 sol. bon. tur. parv.		1	9	franciscus chabaudi	mercator sive bladerius																													
/BD_9	biendeclare	hospitium					4	54		1	9	cens		3	18 den. bon. tur. parv.		1	10	francisquetus de campanino																														
/BD_10	biendeclare	hospitium					4	54		1	10	cens		3	18 den. bon. tur. parv.		1	11	aymericus de sancto michaele			nobilis 	domicellus																										
/BD_11	biendeclare	hospitium					4	54		1	11	cens		2	6 den. bon. tur. parv.		1	12	bertrana porcelli																														
/BD_12	biendeclare	hospitium cum crota					4	54		1	12	cens		3	20 den. bon. tur. parv.	20 sol. bon. tur. parv.	1	13	robertus giliberti	magister fossatorum et vallatorum		magister			habitator avinionis																								
/BD_13	biendeclare	2 hospitia contigua	parva				4	54		1	13	cens		5	2 sol. bon. tur. parv.		1	14	ramundus magistri			burgensis																											
/BD_14	biendeclare	hospitium					4	54		1	14	cens		2	9 den. bon. tur. parv.		1	15	johanna michaelis																														
/BD_15	biendeclare	hospitium					4	54		1	15	cens		2	10 den. bon. tur. parv.		1	16	robertus  																														
/BD_16	biendeclare	hospitium					4	54		1	16	cens		3	18 den. bon. tur. parv.		1	17	margarita de tornay																														
